"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"11-Sep-2019","    27639.05","    27829.65","    27551.65","    27776.20","      467414755","         6677.77"
"12-Sep-2019","    27870.80","    28062.30","    27764.70","    27818.50","      377820739","         6469.22"
"13-Sep-2019","    27772.00","    28126.85","    27573.45","    28098.75","      438497830","         6752.69"
"16-Sep-2019","    27868.00","    28066.70","    27798.85","    27855.00","      234062573","         4463.98"
"17-Sep-2019","    27765.10","    27851.40","    27047.95","    27131.75","      277762547","         5449.45"
"18-Sep-2019","    27304.70","    27414.45","    27088.80","    27172.65","      307775512","         5314.41"
"19-Sep-2019","    27175.45","    27175.45","    26643.00","    26757.65","      450436905","         6050.19"
"20-Sep-2019","    26878.65","    29418.95","    26727.55","    28981.55","      844582360","        18185.99"
"23-Sep-2019","    30039.40","    30801.30","    29776.30","    30566.20","      552171387","        14401.90"
"24-Sep-2019","    30432.00","    30668.10","    29889.55","    30183.10","      348810197","         8157.62"
"25-Sep-2019","    30029.05","    30067.60","    29470.10","    29586.05","      352814285","         8112.37"
"26-Sep-2019","    29640.55","    30718.35","    29627.00","    30002.60","      540435004","        11367.60"
"27-Sep-2019","    29974.95","    30112.65","    29711.35","    29876.65","      464096458","         7011.82"
"30-Sep-2019","    29674.80","    29754.40","    28943.45","    29103.15","      580252025","         9447.47"
"01-Oct-2019","    29226.15","    29526.40","    28077.35","    28725.50","     1187313940","        15321.69"
"03-Oct-2019","    28606.70","    28769.10","    28240.80","    28414.10","      825756750","        10519.65"
"04-Oct-2019","    28681.90","    28730.30","    27653.70","    27731.85","      732719135","         9504.35"
"07-Oct-2019","    27909.90","    28185.15","    27568.35","    27767.55","      554307096","         8314.79"
"09-Oct-2019","    27901.65","    28857.70","    27702.05","    28785.85","      574832720","         8826.87"
"10-Oct-2019","    28542.95","    28552.75","    27914.15","    28013.45","      381151128","         6867.09"
"11-Oct-2019","    28245.55","    28604.05","    27736.80","    28042.50","      558917279","         8470.43"
"14-Oct-2019","    28238.50","    28553.40","    28043.25","    28181.95","      387660772","         5919.07"
"15-Oct-2019","    28257.85","    28694.85","    28186.25","    28555.10","      350926458","         5599.17"
"16-Oct-2019","    28689.45","    28759.35","    28305.40","    28538.80","      400383734","         6136.08"
"17-Oct-2019","    28596.35","    29049.05","    28487.95","    28989.45","      617849861","         7434.75"
"18-Oct-2019","    28954.80","    29249.50","    28864.10","    29120.25","      605170183","         7459.77"
"22-Oct-2019","    29416.25","    29690.00","    29231.20","    29411.15","      582221306","         8753.58"
"23-Oct-2019","    29478.85","    29643.80","    29214.05","    29459.60","      497765615","         8082.30"
"24-Oct-2019","    29604.35","    29693.25","    28994.20","    29107.95","      439980796","         7551.17"
"25-Oct-2019","    29228.65","    29452.10","    28923.80","    29395.95","-","-"
"27-Oct-2019","    29605.40","    29644.45","    29446.80","    29516.30","      110013856","         1489.52"
"29-Oct-2019","    29527.60","    29997.65","    29385.45","    29873.05","      567556033","         8794.15"
"30-Oct-2019","    30005.70","    30151.10","    29753.00","    29987.50","      448802636","         7242.26"
"31-Oct-2019","    30168.65","    30415.65","    29987.15","    30066.25","     1186433992","        15535.72"
"01-Nov-2019","    30196.15","    30409.00","    30028.90","    30330.55","      646745938","         9226.12"
"04-Nov-2019","    30415.90","    30607.05","    30227.25","    30333.10","      613019002","         7721.63"
"05-Nov-2019","    30403.25","    30452.70","    30091.35","    30219.85","      534711559","         7772.51"
"06-Nov-2019","    30225.20","    30699.00","    30013.65","    30609.60","      403957809","         6876.72"
"07-Nov-2019","    30722.60","    30821.35","    30462.55","    30633.15","      364819481","         7186.41"
"08-Nov-2019","    30571.30","    31108.40","    30504.05","    30749.40","      620047286","        10804.54"
"11-Nov-2019","    30664.65","    31205.20","    30625.80","    31115.55","      422777530","         7377.80"
"13-Nov-2019","    31084.75","    31198.50","    30488.10","    30541.55","      474514279","         7993.03"
"14-Nov-2019","    30615.80","    30789.20","    30338.35","    30749.95","      383307292","         7906.64"
"15-Nov-2019","    30912.40","    31165.45","    30860.70","    31008.40","      393946823","         9304.25"
"18-Nov-2019","    31036.80","    31203.55","    30901.85","    30992.10","      331730315","         6249.74"
"19-Nov-2019","    31045.15","    31298.05","    30974.30","    31236.25","      429946749","         7988.03"
"20-Nov-2019","    31292.35","    31471.65","    31205.55","    31353.85","      418997557","         7712.76"
"21-Nov-2019","    31413.25","    31463.15","    31243.00","    31349.95","      296147991","         6836.85"
"22-Nov-2019","    31389.60","    31394.20","    31055.20","    31111.60","      257772972","         5313.89"
"25-Nov-2019","    31065.10","    31591.60","    31049.75","    31555.90","      317309578","         6108.08"
"26-Nov-2019","    31692.85","    31850.35","    31465.85","    31718.35","      856689798","        22529.25"
"27-Nov-2019","    31832.75","    31916.80","    31734.50","    31875.95","      417569581","         7883.95"
"28-Nov-2019","    31981.70","    32157.05","    31905.90","    32122.95","      498304741","         9846.60"
"29-Nov-2019","    32074.15","    32086.95","    31770.80","    31946.10","      667784235","         9376.34"
"02-Dec-2019","    32008.30","    32024.10","    31720.60","    31871.45","      495997384","         6878.37"
"03-Dec-2019","    31920.10","    31936.60","    31502.95","    31613.35","      431512247","         6262.52"
"04-Dec-2019","    31549.30","    32017.75","    31444.00","    31979.30","      516797101","         7977.93"
"05-Dec-2019","    32083.80","    32126.95","    31628.30","    31712.95","      393274720","         7477.51"
